band	brightness	koef
456.000000	2.765411	0.723220
457.000000	2.751712	0.726820
458.000000	2.702055	0.740177
459.000000	2.835616	0.705314
460.000000	2.857877	0.699820
461.000000	2.753425	0.726368
462.000000	2.678082	0.746803
463.000000	2.693493	0.742530
464.000000	2.647260	0.755498
465.000000	2.890411	0.691943
466.000000	2.750000	0.727273
467.000000	2.708904	0.738306
468.000000	2.690068	0.743475
469.000000	2.809932	0.711761
470.000000	2.720890	0.735053
471.000000	2.703767	0.739709
472.000000	2.758562	0.725016
473.000000	2.976027	0.672037
474.000000	2.931507	0.682243
475.000000	2.789384	0.717004
476.000000	2.804795	0.713065
477.000000	2.904110	0.688679
478.000000	2.936644	0.681050
479.000000	2.630137	0.760417
480.000000	2.426370	0.824277
481.000000	2.772260	0.721433
482.000000	2.844178	0.703191
483.000000	2.989726	0.668958
484.000000	2.705479	0.739241
485.000000	2.756849	0.725466
486.000000	2.803082	0.713500
487.000000	2.847603	0.702345
488.000000	2.676370	0.747281
489.000000	2.779110	0.719655
490.000000	2.796233	0.715248
491.000000	2.727740	0.733208
492.000000	2.779110	0.719655
493.000000	2.727740	0.733208
494.000000	2.583904	0.774023
495.000000	2.851027	0.701502
496.000000	2.770548	0.721879
497.000000	2.727740	0.733208
498.000000	2.761986	0.724117
499.000000	3.041096	0.657658
500.000000	2.743151	0.729089
501.000000	2.731164	0.732288
502.000000	2.851027	0.701502
503.000000	2.804795	0.713065
504.000000	3.001712	0.666286
505.000000	2.756849	0.725466
506.000000	2.833904	0.705740
507.000000	2.691781	0.743003
508.000000	2.736301	0.730914
509.000000	2.652397	0.754035
510.000000	2.736301	0.730914
511.000000	2.895548	0.690716
512.000000	2.666096	0.750161
513.000000	3.001712	0.666286
514.000000	2.821918	0.708738
515.000000	2.871575	0.696482
516.000000	2.729452	0.732748
517.000000	2.722603	0.734591
518.000000	2.856164	0.700240
519.000000	2.845890	0.702768
520.000000	2.839041	0.704463
521.000000	2.902397	0.689086
522.000000	2.739726	0.730000
523.000000	2.587329	0.772998
524.000000	2.750000	0.727273
525.000000	2.703767	0.739709
526.000000	2.977740	0.671650
527.000000	2.767123	0.722772
528.000000	2.861301	0.698983
529.000000	2.794521	0.715686
530.000000	2.982877	0.670494
531.000000	2.828767	0.707022
532.000000	2.741438	0.729544
533.000000	2.751712	0.726820
534.000000	2.738014	0.730457
535.000000	2.547945	0.784946
536.000000	2.720890	0.735053
537.000000	2.890411	0.691943
538.000000	2.707192	0.738773
539.000000	2.770548	0.721879
540.000000	2.866438	0.697730
541.000000	2.736301	0.730914
542.000000	2.989726	0.668958
543.000000	2.674658	0.747759
544.000000	2.897260	0.690307
545.000000	2.815068	0.710462
546.000000	2.821918	0.708738
547.000000	2.804795	0.713065
548.000000	2.789384	0.717004
549.000000	2.833904	0.705740
550.000000	2.801370	0.713936
551.000000	2.799658	0.714373
552.000000	3.013699	0.663636
553.000000	2.794521	0.715686
554.000000	2.875000	0.695652
555.000000	2.772260	0.721433
556.000000	2.873288	0.696067
557.000000	2.940068	0.680256
558.000000	2.898973	0.689900
559.000000	3.035959	0.658770
560.000000	2.840753	0.704039
561.000000	2.671233	0.748718
562.000000	2.657534	0.752577
563.000000	2.827055	0.707450
564.000000	2.674658	0.747759
565.000000	2.866438	0.697730
566.000000	2.832192	0.706167
567.000000	2.592466	0.771466
568.000000	2.696918	0.741587
569.000000	3.013699	0.663636
570.000000	2.883562	0.693587
571.000000	2.794521	0.715686
572.000000	2.984589	0.670109
573.000000	2.878425	0.694825
574.000000	3.005137	0.665527
575.000000	2.792808	0.716125
576.000000	2.835616	0.705314
577.000000	2.773973	0.720988
578.000000	2.917808	0.685446
579.000000	2.710616	0.737840
580.000000	2.929795	0.682642
581.000000	2.856164	0.700240
582.000000	2.931507	0.682243
583.000000	2.780822	0.719212
584.000000	2.885274	0.693175
585.000000	2.869863	0.696897
586.000000	3.008562	0.664769
587.000000	2.936644	0.681050
588.000000	2.811644	0.711328
589.000000	2.905822	0.688273
590.000000	2.821918	0.708738
591.000000	2.917808	0.685446
592.000000	2.994863	0.667810
593.000000	2.955479	0.676709
594.000000	2.777397	0.720099
595.000000	2.804795	0.713065
596.000000	2.830479	0.706594
597.000000	2.808219	0.712195
598.000000	2.892123	0.691533
599.000000	2.957192	0.676317
600.000000	2.770548	0.721879
601.000000	3.049658	0.655811
602.000000	2.928082	0.683041
603.000000	2.936644	0.681050
604.000000	3.034247	0.659142
605.000000	2.732877	0.731830
606.000000	2.981164	0.670879
607.000000	2.881849	0.693999
608.000000	2.842466	0.703614
609.000000	2.958904	0.675926
610.000000	3.051370	0.655443
611.000000	2.808219	0.712195
612.000000	2.926370	0.683441
613.000000	2.861301	0.698983
614.000000	2.986301	0.669725
615.000000	2.989726	0.668958
616.000000	3.029110	0.660260
617.000000	2.914384	0.686251
618.000000	2.854452	0.700660
619.000000	2.919521	0.685044
620.000000	2.739726	0.730000
621.000000	2.703767	0.739709
622.000000	2.863014	0.698565
623.000000	2.724315	0.734129
624.000000	2.972603	0.672811
625.000000	3.059932	0.653609
626.000000	2.789384	0.717004
627.000000	2.974315	0.672424
628.000000	2.556507	0.782317
629.000000	2.976027	0.672037
630.000000	2.933219	0.681845
631.000000	2.873288	0.696067
632.000000	3.140411	0.636859
633.000000	2.929795	0.682642
634.000000	3.003425	0.665906
635.000000	2.957192	0.676317
636.000000	2.815068	0.710462
637.000000	2.969178	0.673587
638.000000	2.897260	0.690307
639.000000	2.905822	0.688273
640.000000	2.965753	0.674365
641.000000	2.813356	0.710895
642.000000	2.864726	0.698147
643.000000	2.946918	0.678675
644.000000	2.767123	0.722772
645.000000	2.905822	0.688273
646.000000	2.945205	0.679070
647.000000	3.046233	0.656549
648.000000	2.931507	0.682243
649.000000	2.886986	0.692764
650.000000	2.876712	0.695238
651.000000	2.765411	0.723220
652.000000	3.013699	0.663636
653.000000	2.928082	0.683041
654.000000	2.921233	0.684642
655.000000	2.799658	0.714373
656.000000	3.030822	0.659887
657.000000	2.559932	0.781271
658.000000	2.880137	0.694411
659.000000	2.755137	0.725917
660.000000	2.797945	0.714810
661.000000	2.869863	0.696897
662.000000	2.964041	0.674754
663.000000	2.856164	0.700240
664.000000	2.892123	0.691533
665.000000	3.000000	0.666667
666.000000	2.743151	0.729089
667.000000	2.890411	0.691943
668.000000	2.806507	0.712630
669.000000	2.613014	0.765400
670.000000	3.046233	0.656549
671.000000	2.888699	0.692353
672.000000	2.917808	0.685446
673.000000	2.856164	0.700240
674.000000	2.912671	0.686655
675.000000	2.893836	0.691124
676.000000	2.972603	0.672811
677.000000	2.804795	0.713065
678.000000	2.864726	0.698147
679.000000	2.746575	0.728180
680.000000	2.876712	0.695238
681.000000	2.791096	0.716564
682.000000	2.938356	0.680653
683.000000	2.976027	0.672037
684.000000	2.946918	0.678675
685.000000	2.859589	0.699401
686.000000	3.013699	0.663636
687.000000	3.030822	0.659887
688.000000	2.792808	0.716125
689.000000	2.886986	0.692764
690.000000	2.945205	0.679070
691.000000	3.020548	0.662132
692.000000	2.917808	0.685446
693.000000	2.893836	0.691124
694.000000	2.671233	0.748718
695.000000	2.741438	0.729544
696.000000	2.873288	0.696067
697.000000	2.785959	0.717886
698.000000	2.741438	0.729544
699.000000	2.941781	0.679860
700.000000	3.042808	0.657288
701.000000	2.919521	0.685044
702.000000	2.844178	0.703191
703.000000	2.926370	0.683441
